avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,num_pkts_out,num_pkts_in,proto,src_ip,src_port,time_end,time_start,total_entropy,label,duration
0,8,8,786,"",2.75,1,1,1,786,"",1655075036429237,165507503642912,43.999996,malicious,1.17E-4
370.5061728395062,34748,3121,786,9200,32.07394,40,76,6,786,50414,1655075048658672,1655075018600698,1214608.0,benign,30.057974
0,8,8,786,"",3.0,1,1,1,786,"",165507503882502,1655075038824904,47.999996,outlier,1.16E-4
0,0,0,786,19157,0.0,1,0,6,786,47613,1655075035316652,1655075035316652,0.0,outlier,0.0
0,0,0,786,39793,0.0,1,0,6,786,47613,1655075037592975,1655075037592975,0.0,outlier,0.0
54.5,19,43,786,3389,3.678133,4,3,6,786,52231,1655075037994526,1655075037663042,228.04424,outlier,0.331484
0,0,0,786,10295,0.0,2,19,6,786,47613,1655075018442371,1655075018441758,0.0,outlier,6.13E-4
52378015.90243903,35413,53094,786,9200,25.669483,233,75,6,786,50398,1655075048629199,1655075018600777,2271929.0,benign,30.028421
51746955,36522,25991,786,9200,29.269728,160,254,6,786,50394,1655075048629448,1655075018641581,1829738.5,benign,29.987867
0,0,0,786,23136,0.0,1,0,6,786,47613,1655075036997545,1655075036997545,0.0,outlier,0.0
52378015.93902439,35322,35680,786,9200,28.077623,180,145,6,786,50412,1655075048629926,1655075018600918,1993567.4,benign,30.029009
51130919.78571428,38364,1234,786,9200,31.869596,14,132,6,786,50396,1655075048629926,1655075018643462,1261972.2,benign,29.986464
0,0,0,786,31388,0.0,1,0,6,786,47613,1655074909306624,1655074909306624,0.0,outlier,0.0
146,12,12,786,5900,2.886842,5,5,6,786,53128,1655074912942737,1655074912504534,69.28421,outlier,0.438203
176,12,12,786,5900,2.886842,5,5,6,786,55056,1655074914035713,1655074913518877,69.28421,outlier,0.516836
0,8,8,786,"",3.0,1,1,1,786,"",1655074910296688,1655074910296564,47.999996,malicious,1.24E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074912043394,165507491204329,47.999996,malicious,1.04E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074914120256,1655074914120162,47.999996,outlier,9.4E-5
0,0,0,786,34682,0.0,1,0,6,786,47613,1655075043446389,1655075043446389,0.0,outlier,0.0
0,0,0,786,31899,0.0,1,0,6,786,47613,1655075045638509,1655075045638509,0.0,outlier,0.0
0,0,0,786,10455,0.0,1,0,6,786,47613,1655075030873768,1655075030873768,0.0,outlier,0.0
0,0,300,786,67,1.629833,1,0,17,786,68,1655075034907993,1655075034907993,488.95004,benign,0.0
0,0,0,786,54357,0.0,1,0,6,786,47613,1655075035097277,1655075035097277,0.0,outlier,0.0
0,8,8,786,"",2.75,1,1,1,786,"",1655075030347382,165507503034729,43.999996,malicious,9.2E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655075033450678,1655075033450553,47.999996,outlier,1.25E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655075034481129,1655075034481,47.999996,outlier,1.29E-4
0,0,0,786,64109,0.0,1,0,6,786,47613,1655075111534557,1655075111534557,0.0,outlier,0.0
0,0,0,786,9942,0.0,1,0,6,786,47613,1655075114267016,1655075114267016,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655075109899407,1655075109899326,47.999996,malicious,8.1E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655075110307397,1655075110307312,47.999996,malicious,8.5E-5
0,0,0,786,25736,0.0,1,0,6,786,47613,1655075144296107,1655075144296107,0.0,outlier,0.0
0,0,0,786,31385,0.0,1,0,6,786,47613,1655075145881001,1655075145881001,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655075145771103,1655075145770943,47.999996,malicious,1.6E-4
0,0,0,786,42854,0.0,1,0,6,786,47613,1655075145123692,1655075145123692,0.0,outlier,0.0
0,56,56,786,"",1.020244,1,1,1,786,"",1655075148083094,165507514808296,114.267365,malicious,1.34E-4
0,0,0,786,10321,0.0,1,0,6,786,47613,1655075149329452,1655075149329452,0.0,outlier,0.0
0,0,0,786,2767,0.0,1,0,6,786,47613,1655075149390346,1655075149390346,0.0,outlier,0.0
0,0,0,786,52685,0.0,1,0,6,786,47613,165507514948051,165507514948051,0.0,outlier,0.0
0,0,0,786,37794,0.0,1,0,6,786,47613,165507514957947,165507514957947,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655075149642255,1655075149642212,47.999996,malicious,4.3E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655075149964953,1655075149964842,47.999996,malicious,1.11E-4
377.25,112,112,786,"",1.091673,2,2,1,786,"",165507515112509,1655075149615274,244.53473,outlier,1.509816
0,56,56,786,"",0.894484,1,1,1,786,"",1655075152010602,1655075152010557,100.1822,outlier,4.5E-5
0,0,0,786,15192,0.0,1,0,6,786,47613,1655075145315903,1655075145315903,0.0,outlier,0.0
0,0,0,786,47613,0.0,3,0,6,786,21726,1655075145881596,1655075144296564,0.0,outlier,1.585032
0,0,0,786,8320,0.0,1,0,6,786,47613,1655075148659079,1655075148659079,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655075145840585,1655075145840423,47.999996,malicious,1.62E-4
0,0,0,786,7545,0.0,1,0,6,786,47613,1655075148691709,1655075148691709,0.0,outlier,0.0
0,0,0,786,1315,0.0,1,0,6,786,47613,1655075149193613,1655075149193613,0.0,outlier,0.0
292.6530612244898,53726,47539,786,9200,28.645777,220,136,6,786,50422,1655075140072563,1655075111316,2900814.5,benign,28.756563
45210482.06315789,50474,27758,786,9200,30.394243,19,19,6,786,50394,1655075140098619,1655075111496495,2377802.5,benign,28.602123
47197752.18681318,46083,8744,786,9200,32.00252,114,191,6,786,50398,1655075140102194,1655075111844029,1754602.2,benign,28.258165
145,12,12,786,5900,2.886842,5,5,6,786,55306,1655075132872202,1655075132435247,69.28421,outlier,0.436955
0,0,0,786,41122,0.0,1,0,6,786,47613,1655075133495939,1655075133495939,0.0,outlier,0.0
0,0,0,786,970,0.0,1,0,6,786,47613,1655075135718186,1655075135718186,0.0,outlier,0.0
147.5,12,12,786,5900,2.886842,5,5,6,786,34260,1655075135935806,1655075135490451,69.28421,outlier,0.445355
148,12,12,786,5900,2.886842,5,5,6,786,36516,1655075136752473,1655075136307084,69.28421,outlier,0.445389
0,0,0,786,38737,0.0,1,0,6,786,47613,165507513697637,165507513697637,0.0,outlier,0.0
0,56,56,786,"",1.020244,1,1,1,786,"",1655075133109453,1655075133109333,114.267365,outlier,1.2E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655075135643911,165507513564383,47.999996,malicious,8.1E-5
0,8,8,786,"",2.75,1,1,1,786,"",1655075169904069,1655075169904014,43.999996,outlier,5.5E-5
0,56,56,786,"",0.98453,1,1,1,786,"",1655075169952514,1655075169952467,110.26736,outlier,4.7E-5
0,56,56,786,"",1.020244,1,1,1,786,"",1655075170078733,1655075170078664,114.267365,malicious,6.9E-5
0,56,56,786,"",1.020244,1,1,1,786,"",1655075172894473,1655075172894346,114.267365,malicious,1.27E-4
148.5,12,12,786,5900,2.886842,5,5,6,786,49886,1655075168944635,165507516849828,69.28421,outlier,0.446355
8,48,48,786,123,4.535927,1,1,17,786,123,1655075169914788,1655075169897934,435.449,outlier,0.016854
50529379.63529412,39330,51116,786,9200,26.28917,45,124,6,786,50396,1655075177794136,1655075147800755,2377750.2,benign,29.993382
0,0,0,786,10596,0.0,1,0,6,786,47613,1655075171001108,1655075171001108,0.0,outlier,0.0
0,0,0,786,55055,0.0,1,0,6,786,47613,1655075170008493,1655075170008493,0.0,outlier,0.0
145.5,12,12,786,5900,2.886842,5,5,6,786,57354,1655075173125678,1655075172688942,69.28421,outlier,0.436736
0,0,0,786,48803,0.0,2,18,6,786,47613,1655075148643562,1655075148642766,0.0,outlier,7.96E-4
0,0,0,786,47755,0.0,1,0,6,786,47613,1655075169847332,1655075169847332,0.0,outlier,0.0
0,56,56,786,"",0.98453,1,1,1,786,"",1655075169222377,1655075169222249,110.26736,malicious,1.28E-4
0,56,56,786,"",1.020244,1,1,1,786,"",165507517302804,1655075173027929,114.267365,malicious,1.11E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655075175484757,1655075175484621,47.999996,malicious,1.36E-4
0,0,0,786,46152,0.0,1,0,6,786,47613,165507517876415,165507517876415,0.0,outlier,0.0
0,0,0,786,61387,0.0,1,0,6,786,47613,1655075178870509,1655075178870509,0.0,outlier,0.0
0,0,0,786,4647,0.0,1,0,6,786,47613,1655075180424945,1655075180424945,0.0,outlier,0.0
0,0,0,786,53105,0.0,1,0,6,786,47613,1655075180455772,1655075180455772,0.0,outlier,0.0
415.75,112,112,786,"",1.091673,2,2,1,786,"",1655075180024596,1655075178360468,244.53473,outlier,1.664128
0,0,0,786,33348,0.0,1,0,6,786,47613,1655075185381154,1655075185381154,0.0,outlier,0.0
0,0,0,786,9014,0.0,2,1,6,786,31936,1655075186800393,165507518670849,0.0,outlier,0.091903
0,0,0,786,15361,0.0,1,0,6,786,47613,1655075187162084,1655075187162084,0.0,outlier,0.0
0,0,0,786,9014,0.0,3,1,6,786,39442,1655075187982389,1655075186887937,0.0,outlier,1.094452
0,56,56,786,"",0.98453,1,1,1,786,"",1655075182741771,1655075182741671,110.26736,outlier,1.0E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655075184402313,1655075184402214,47.999996,outlier,9.9E-5
0,56,56,786,"",2.316351,1,1,1,786,"",1655075185740722,1655075185740609,259.4313,outlier,1.13E-4
93,0,243,786,9014,5.796239,4,3,6,786,47848,1655075188174068,1655075187982154,1408.4861,outlier,0.191914
0,8,8,786,"",3.0,1,1,1,786,"",1655075188100866,1655075188100808,47.999996,outlier,5.8E-5
0,56,56,786,"",1.020244,1,1,1,786,"",1655075189062325,1655075189062257,114.267365,malicious,6.8E-5
555.5,19,44,786,9014,4.253827,5,4,6,786,54100,1655075189399663,165507518817485,267.9911,outlier,1.224813
0,56,56,786,"",1.020244,1,1,1,786,"",1655075189985738,1655075189985679,114.267365,malicious,5.9E-5
0,0,0,786,44566,0.0,1,0,6,786,23,1655075182475585,1655075182475585,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655075181203189,1655075181203099,47.999996,malicious,9.0E-5
0,8,8,786,"",2.75,1,1,1,786,"",1655075181859055,1655075181858975,43.999996,outlier,8.0E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655075189500996,1655075189500796,47.999996,outlier,2.0E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655075189878128,1655075189878074,47.999996,malicious,5.4E-5
100.16666666666667,1359,745,786,22,6.938595,12,14,6,786,56936,1655075180478271,1655075179244891,14598.805,outlier,1.23338
70.5,19,164,786,9014,5.234664,6,5,6,786,41358,1655075189777585,16550751894426,957.9436,outlier,0.334985
46.333333333333336,0,82,786,9014,3.415478,6,6,6,786,55084,1655075189980509,1655075189839349,280.06918,outlier,0.14116
0,0,0,786,9014,0.0,2,1,6,786,5189,1655075190265814,1655075190147055,0.0,outlier,0.118759
139.5,19,43,786,3389,3.678133,4,3,6,786,64612,1655075190559934,165507519005507,228.04424,outlier,0.504864
145.5,12,12,786,5900,2.886842,5,5,6,786,52312,1655075196103637,1655075195662913,69.28421,outlier,0.440724
315.4421052631579,50499,40817,786,9200,29.119368,124,141,6,786,50366,1655075207764354,1655075177772783,2659064.2,benign,29.991571
43383809.55555555,55110,36463,786,9200,29.53241,42,109,6,786,50414,1655075207740146,1655075177795146,2704371.2,benign,29.945
0,8,8,786,"",3.0,1,1,1,786,"",1655075197655872,1655075197655764,47.999996,outlier,1.08E-4
0,0,0,786,28152,0.0,1,0,6,786,47613,1655075194294809,1655075194294809,0.0,outlier,0.0
4.5,48,48,786,123,5.032944,1,1,17,786,123,1655075194907509,1655075194897997,483.16263,outlier,0.009512
55064057.44871795,31669,25098,786,9200,29.667877,242,22,6,786,50398,1655074436444787,1655074407186209,1684156.4,benign,29.258577
0,0,0,786,32756,0.0,1,0,6,786,47613,1655074427576739,1655074427576739,0.0,outlier,0.0
70409381.98360656,12436,24407,786,9200,25.318245,172,213,6,786,50422,165507453713712,1655074532063665,932800.1,benign,5.073455
0,0,0,786,11752,0.0,1,0,6,786,47613,1655074536275893,1655074536275893,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655074535659287,1655074535659196,47.999996,malicious,9.1E-5
0,0,0,786,30882,0.0,1,0,6,786,47613,1655074520299853,1655074520299853,0.0,outlier,0.0
0,0,0,786,11040,0.0,1,0,6,786,47613,1655074529580039,1655074529580039,0.0,outlier,0.0
0,0,0,786,35659,0.0,1,0,6,786,47613,1655074529748291,1655074529748291,0.0,outlier,0.0
298,7,0,786,23,2.807355,3,2,6,786,45568,1655074533652626,1655074533055871,19.651487,outlier,0.596755
53687351.35,33833,6636,786,9200,32.24476,201,147,6,786,50394,1655074536775653,1655074515917002,1304913.1,benign,20.85865
248.3815789473684,29388,7908,786,9200,32.39973,101,129,6,786,50366,1655074537106222,1655074518182909,1208380.4,benign,18.923313
55779023.62337662,30430,8164,786,9200,32.272194,82,24,6,786,50412,1655074537110363,1655074519536243,1245513.0,benign,17.57412
56512960.90789474,29502,38684,786,9200,27.144167,204,172,6,786,50392,165507453734947,1655074519559561,1850852.1,benign,17.78991
69273750.62903225,13512,33670,786,9200,22.912596,149,216,6,786,50398,1655074537349716,1655074532055803,1081062.1,benign,5.293913
69273746.90322581,13632,52172,786,9200,19.152859,209,185,6,786,50414,1655074537126376,1655074532055882,1260334.8,benign,5.070494
0,8,8,786,"",3.0,1,1,1,786,"",1655074520107385,1655074520107296,47.999996,malicious,8.9E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074521652239,1655074521652132,47.999996,malicious,1.07E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074522596189,1655074522596137,47.999996,malicious,5.2E-5
0,56,56,786,"",1.020244,1,1,1,786,"",1655074524709204,1655074524709124,114.267365,outlier,8.0E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074527574838,1655074527574705,47.999996,malicious,1.33E-4
0,8,8,786,"",3.0,1,1,1,786,"",165507452794709,1655074527946978,47.999996,outlier,1.12E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074528797951,1655074528797858,47.999996,outlier,9.3E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074531386656,1655074531386537,47.999996,outlier,1.19E-4
0,56,56,786,"",1.020244,1,1,1,786,"",1655074533366789,1655074533366441,114.267365,malicious,3.48E-4
0,56,56,786,"",1.020244,1,1,1,786,"",1655074534046725,1655074534046622,114.267365,malicious,1.03E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074534828396,1655074534828318,47.999996,malicious,7.8E-5
0,56,56,786,"",0.98453,1,1,1,786,"",1655074538629153,1655074538629053,110.26736,outlier,1.0E-4
0,0,0,786,32753,0.0,1,0,6,786,47613,1655074620364057,1655074620364057,0.0,outlier,0.0
70.5,19,43,786,3389,3.678133,4,3,6,786,62860,1655074621169749,1655074620960041,228.04424,outlier,0.209708
0,0,0,786,35912,0.0,1,0,6,786,47613,1655074621973834,1655074621973834,0.0,outlier,0.0
42949970.34,55884,58803,786,9200,27.712046,79,63,6,786,50414,1655074633990842,1655074604107957,3178211.5,benign,29.882885
43383808.464646466,54749,17938,786,9200,31.862299,54,49,6,786,50366,1655074633965506,1655074604108052,2315975.0,benign,29.857454
0,0,0,786,61021,0.0,1,0,6,786,47613,1655074624231744,1655074624231744,0.0,outlier,0.0
0,0,0,786,52847,0.0,1,0,6,786,47613,1655074536635894,1655074536635894,0.0,outlier,0.0
0,0,0,786,52139,0.0,1,0,6,786,47613,1655074536862394,1655074536862394,0.0,outlier,0.0
0,0,0,786,3172,0.0,1,0,6,786,47613,1655074520383513,1655074520383513,0.0,outlier,0.0
5.5,48,48,786,123,4.602058,1,1,17,786,123,1655074521909677,1655074521898021,441.79758,outlier,0.011656
0,0,0,786,48216,0.0,1,0,6,786,47613,1655074522422981,1655074522422981,0.0,outlier,0.0
0,0,0,786,50061,0.0,1,0,6,786,47613,1655074528891078,1655074528891078,0.0,outlier,0.0
0,0,0,786,8878,0.0,1,0,6,786,47613,1655074529151844,1655074529151844,0.0,outlier,0.0
0,0,0,786,7780,0.0,1,0,6,786,47613,1655074529230567,1655074529230567,0.0,outlier,0.0
0,0,0,786,51572,0.0,1,0,6,786,47613,1655074529282328,1655074529282328,0.0,outlier,0.0
0,0,0,786,23,0.0,2,1,6,786,53795,1655074532212192,1655074531900173,0.0,outlier,0.312019
0,0,0,786,54519,0.0,1,0,6,786,47613,1655074532943852,1655074532943852,0.0,outlier,0.0
254.25675675675674,27029,11800,786,9200,31.824932,93,228,6,786,50396,1655074537138345,1655074518247848,1235730.2,benign,18.890497
0,0,0,786,40269,0.0,1,0,6,786,47613,1655074537150104,1655074537150104,0.0,outlier,0.0
0,0,0,786,59114,0.0,1,0,6,786,47613,165507453794694,165507453794694,0.0,outlier,0.0
0,8,8,786,"",2.75,1,1,1,786,"",1655074537921739,1655074537921604,43.999996,outlier,1.35E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074538121723,165507453812163,47.999996,outlier,9.3E-5
0,8,8,786,"",3.0,1,1,1,786,"",165507454006883,1655074540068729,47.999996,outlier,1.01E-4
0,56,56,786,"",1.020244,1,1,1,786,"",1655074541334244,1655074541334158,114.267365,outlier,8.6E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074537081977,1655074537081901,47.999996,malicious,7.6E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074539693773,165507453969367,47.999996,outlier,1.03E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074541283822,1655074541283741,47.999996,outlier,8.1E-5
47197767.26373626,44480,39751,786,9200,28.544926,208,143,6,786,50392,165507460296684,1655074573281676,2404367.8,benign,29.685163
0,0,0,786,6039,0.0,1,0,6,786,47613,165507465511368,165507465511368,0.0,outlier,0.0
141.16666666666666,1359,745,786,22,6.920143,12,14,6,786,17384,1655074657619728,1655074655836719,14559.981,outlier,1.783009
0,0,0,786,54949,0.0,1,0,6,786,47613,1655074669509005,1655074669509005,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",165507466568428,1655074665684173,47.999996,outlier,1.07E-4
0,0,0,786,53095,0.0,1,0,6,786,47613,1655074808659263,1655074808659263,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655074810550062,1655074810549938,47.999996,outlier,1.24E-4
0,0,0,786,32209,0.0,1,0,6,786,47613,1655074812740972,1655074812740972,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655074811301718,1655074811301632,47.999996,outlier,8.6E-5
0,0,0,786,9222,0.0,1,0,6,786,47613,165507479261401,165507479261401,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",165507478972686,1655074789726793,47.999996,malicious,6.7E-5
3113.5,0,600,786,67,1.633167,2,0,17,786,68,1655074805019248,1655074798791604,979.9,benign,6.227644
145.5,12,12,786,5900,2.886842,5,5,6,786,45620,1655074804735513,1655074804298741,69.28421,outlier,0.436772
0,0,0,786,24335,0.0,2,2,6,786,55025,1655074805597163,1655074804319125,0.0,outlier,1.278038
0,0,0,786,10516,0.0,1,0,6,786,47613,1655074806862548,1655074806862548,0.0,outlier,0.0
141.58333333333334,1359,745,786,22,6.914024,12,14,6,786,1295,1655074796694887,1655074794903788,14547.107,outlier,1.791099
173,19,43,786,3389,3.678133,4,3,6,786,60757,1655074796590215,1655074796013,228.04424,outlier,0.577215
0,0,0,786,16538,0.0,1,0,6,786,47613,1655074799737324,1655074799737324,0.0,outlier,0.0
52377955.92682927,36087,58859,786,9200,25.039799,145,251,6,786,50396,1655074809060149,1655074783896509,2377428.8,benign,25.16364
55779121.97402597,30503,54383,786,9200,24.718018,189,195,6,786,50422,1655074809044776,1655074783896583,2098213.8,benign,25.148193
54366992.79746836,32753,64419,786,9200,23.957006,36,244,6,786,50412,1655074809142844,1655074783896663,2327950.2,benign,25.246181
54366992.4556962,32784,21416,786,9200,30.485518,78,226,6,786,50414,1655074809092509,1655074783939498,1652315.0,benign,25.153011
54366992.278481014,32710,47931,786,9200,25.56687,128,52,6,786,50366,1655074809086161,1655074783896743,2061738.0,benign,25.189419
55779121.71428572,30470,16741,786,9200,31.213427,168,80,6,786,50392,1655074809050729,1655074783918829,1473617.1,benign,25.1319
56513057.94736842,29177,19357,786,9200,30.523676,225,219,6,786,50398,1655074809115234,1655074783921322,1481436.1,benign,25.193913
0,0,0,786,47613,0.0,11,0,6,786,41576,1655074812741282,1655074789428112,0.0,outlier,23.31317
0,8,8,786,"",3.0,1,1,1,786,"",1655074810176551,165507481017643,47.999996,outlier,1.21E-4
0,8,8,786,"",3.0,1,1,1,786,"",165507481097393,1655074810973837,47.999996,outlier,9.3E-5
8,48,48,786,123,4.598696,1,1,17,786,123,1655075220914307,1655075220898067,441.47482,outlier,0.01624
0,0,0,786,1419,0.0,1,0,6,786,47613,1655075221712027,1655075221712027,0.0,outlier,0.0
0,0,0,786,1414,0.0,1,0,6,786,47613,1655075221740314,1655075221740314,0.0,outlier,0.0
44739554.625,51537,3489,786,9200,32.21859,120,169,6,786,50412,1655075238156931,1655075208158449,1772860.1,benign,29.998482
319.21276595744683,49202,19275,786,9200,31.201935,42,2,6,786,50396,1655075237773725,1655075208134962,2136615.0,benign,29.638763
0,0,0,786,17566,0.0,1,0,6,786,47613,1655075388709658,1655075388709658,0.0,outlier,0.0
0,0,0,786,7273,0.0,1,0,6,786,47613,1655075391001704,1655075391001704,0.0,outlier,0.0
0,8,8,786,"",3.0,1,1,1,786,"",1655075389288834,1655075389288692,47.999996,outlier,1.42E-4
